objectid,parentid,title,former_name,architect,architect_url,restoration_architect,building_type,architecture_firm,architecture_firm_url,building_materials,date,date_began,date_completed,date_alteration,date_restoration,date_demolished,description,address,location,latitude,longitude,alteration_architect,note,sources,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text
in001,,Mount Royal Spinning Wool Co. Ltd./ Dominion Textile Co.,,"Spence, D. Jerome",a001.html,,textile mill,,,brick; concrete foundation,1908,,1908,"1928, 1935, 1947, 1959",,,,5524 rue St-Patrick,rue St-Patrick,45.46365435,-73.59630154,,Dominion Textile Co.acquired Mount Royal Spinning Wool Co. in 1919. The complex is composed of six buildings.,"Archemi. <em>Inventaire et évaluation des ressources culturelles Canal de Lachine.</em> Montréal: Parcs Canada, 1995. : 209-12<br>Location: Centre de documentation. Parcs Canada- secteur de Lachine.<br>Visuals: exterior photo.<br><br>Communauté Urbaine de Montréal. <em>Architecture Industrielle Montreal.</em> Montréal: Le Service, 1982. : 152-153<br>Visuals: exterior photo.",IN001,Image;StillImage,image/jpeg,eng,Licensed under a Creative Commons Attribution 4.0 International license.,https://creativecommons.org/licenses/by/4.0/,multiple,https://digital.library.mcgill.ca/industrial/images/mrsw01.jpg,https://digital.library.mcgill.ca/industrial/images/mrsw01.jpg,https://digital.library.mcgill.ca/industrial/images/mrsw01.jpg,
in001_01,in001,"View, looking south-east, of offices (foreground) and factory",,,,,,,,,,,,,,,,,,,,,,,mrsw01,Image;StillImage,image/jpeg,eng,,,image,https://digital.library.mcgill.ca/industrial/images/mrsw01.jpg,https://digital.library.mcgill.ca/industrial/images/mrsw01.jpg,https://digital.library.mcgill.ca/industrial/images/mrsw01.jpg,
in001_02,in001,"Factory complex, looking east",,,,,,,,,,,,,,,,,,,,,,,mrsw02,Image;StillImage,image/jpeg,eng,,,image,https://digital.library.mcgill.ca/industrial/images/mrsw02.jpg,https://digital.library.mcgill.ca/industrial/images/mrsw02.jpg,https://digital.library.mcgill.ca/industrial/images/mrsw02.jpg,
in001_03,in001,"View, looking north-east",,,,,,,,,,,,,,,,,,,,,,,mrsw03,Image;StillImage,image/jpeg,eng,,,image,https://digital.library.mcgill.ca/industrial/images/mrsw03.jpg,https://digital.library.mcgill.ca/industrial/images/mrsw03.jpg,https://digital.library.mcgill.ca/industrial/images/mrsw03.jpg,
in001_04,in001,Detail of front offices and factory,,,,,,,,,,,,,,,,,,,,,,,mrsw04,Image;StillImage,image/jpeg,eng,,,image,https://digital.library.mcgill.ca/industrial/images/mrsw04.jpg,https://digital.library.mcgill.ca/industrial/images/mrsw04.jpg,https://digital.library.mcgill.ca/industrial/images/mrsw04.jpg,
in002,,Canada Malting Co. Ltd.,,"Spence, D. Jerome",a001.html,,beverage processing plant,,,brick; stone foundation; concrete bins,1905,,1905,1963,,,,5052 rue St-Ambroise,rue St-Ambroise,45.46903417,-73.58954866,,,"<em>Saint-Henri des tanneries: connaître Montréal par ses quartiers: exposition historique, Musée des arts décoratifs, le Chateau dufresne.</em> Montréal: YMCA de Montréal, 1981. : 20<br><br>Archemi. <em>Inventaire et évaluation des ressources culturelles Canal de Lachine.</em> Montréal: Parcs Canada, 1995. : 265-68<br>Location: Centre de documentation. Parcs Canada- secteur de Lachine.<br>Visuals: exterior photo.<br><br>Faucher et al. <em>Canal de Lachine et ses abords: Étude de zone prioritaire sur la mise en valeur du patrimoine.</em> Montréal: Ville de Montréal, Service de l’habitation et du développement urbain, 1991. .<br>Visuals: exterior photo.",IN002,Image;StillImage,image/jpeg,eng,Licensed under a Creative Commons Attribution 4.0 International license.,https://creativecommons.org/licenses/by/4.0/,multiple,https://digital.library.mcgill.ca/industrial/images/canmalt.jpg,https://digital.library.mcgill.ca/industrial/images/canmalt.jpg,https://digital.library.mcgill.ca/industrial/images/canmalt.jpg,
in002_01,in002,"View of elevators and malt house, looking south-west",,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,eng,,,image,https://digital.library.mcgill.ca/industrial/images/canmalt.jpg,https://digital.library.mcgill.ca/industrial/images/canmalt.jpg,https://digital.library.mcgill.ca/industrial/images/canmalt.jpg,
in002_02,in002,"View, looking north-east, of reinforced concrete malt elevator",,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,eng,,,image,https://digital.library.mcgill.ca/industrial/images/canmalt02.jpg,https://digital.library.mcgill.ca/industrial/images/canmalt02.jpg,https://digital.library.mcgill.ca/industrial/images/canmalt02.jpg,
in002_03,in002,"View of tile elevators, looking north-east",,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,eng,,,image,https://digital.library.mcgill.ca/industrial/images/canmalt03.jpg,https://digital.library.mcgill.ca/industrial/images/canmalt03.jpg,https://digital.library.mcgill.ca/industrial/images/canmalt03.jpg,
in002_04,in002,"View, looking north-east, of tile elevators and the old malt house on the left",,,,,,,,,,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,eng,,,image,https://digital.library.mcgill.ca/industrial/images/canmalt04.jpg,https://digital.library.mcgill.ca/industrial/images/canmalt04.jpg,https://digital.library.mcgill.ca/industrial/images/canmalt04.jpg,
in003,,Unity Building,,"Spence, D. Jerome",a001.html,"Barrot, Marshall, Montgomery & Merrett",light manufacturing,,,reinforced concrete and steel frame; red brick,1912,,1912,1956 (interior renovation),,,"View, looking south-east, along St-Alexandre",454 rue de La Gauchetière ouest,rue de La Gauchetière ouest,45.503119,-73.563425,,,"Communauté Urbaine de Montréal. <em>Architecture Industrielle Montreal.</em> Montréal: Le Service, 1982. : 72-3<br>Visuals: exterior photo.<br><br>Groupe Harcart Inc. “L’edifice Unity Building: Étude historique et analyse architecturale.” Montréal: McGill University. School of Architecture, 1981. .<br>Location: McGill University Library.<br>Visuals: exterior renderings and photos, interior photos.",IN003,Image;StillImage,image/jpeg,eng,Licensed under a Creative Commons Attribution 4.0 International license.,https://creativecommons.org/licenses/by/4.0/,image,https://digital.library.mcgill.ca/industrial/images/unity.jpg,https://digital.library.mcgill.ca/industrial/images/unity.jpg,https://digital.library.mcgill.ca/industrial/images/unity.jpg,
